-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,-1,0,-1,-1,-1,-1,0,0,7,-1,-1,-1,-1,-1,-1
-1,-1,-1,8,8,-1,0,-1,-1,-1,-1,-1,-1,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,2,-1
-1,-1,-1,8,8,8,-1,-1,-1,-1,-1,0,-1,-1,-1,7,-1,-1,7,-1,-1,-1,7,-1,7,7,-1,7,-1,-1
-1,-1,-1,-1,8,8,-1,-1,-1,-1,1,-1,10,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,7,3,-1,-1,-1,-1,-1
-1,-1,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,7,7,-1,7,7,0,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1
-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,8,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
-1,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,10,0,-1,0,-1,2,7,7
-1,-1,-1,8,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,5,-1,-1,-1,7,7,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,4,-1,-1,7,-1,-1,2,-1,7,7
-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,10,-1,-1,2,-1,-1,-1,-1,-1,-1,7
-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,7,-1,-1
-1,-1,-1,-1,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,8,8,8,8,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,7,7
-1,-1,-1,-1,8,8,8,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,10,7,7,7,7
-1,-1,-1,-1,-1,8,8,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,7,7,10,7
-1,-1,-1,-1,8,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,7,7,-1,7,7
